reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
af80aa68-044e-4c4b-90ab-0190b2d053df,afif sena,https://play-lh.googleusercontent.com/a-/ALV-UjWduFfwccmfJfm8lQIaV8y9q7kv6m34qYYXsxWRlJVILxxGhXbD,"Please fix the ""WiFi bug"" , i couldn't open the app on any wifi",2,0,12.4.9,2022-12-31 20:28:17,"Hi Afif, it seems your internet is routing from a foreign server. Please restart your Wi-Fi router, delete the app and install it again. Also, check if your VPN is disabled. For more support, write to us at disneyplus.id@hotstar.com. Thank you.",2023-01-02 07:19:00,12.4.9
08beff6f-bbf0-4641-b395-dc7e8a952fe3,Budi Susilo,https://play-lh.googleusercontent.com/a-/ALV-UjVLg3LXzXgpjpZO0V2eRqFJzn972PVSu6Fe0uTw2FNEWoYw8lCr,"Lumayanlah alternatif hiburan Gratis otomatis, krn pake HALO.",4,1,,2022-12-31 18:09:19,,,
cf6572d1-8685-491b-bda1-ec2bf8163a3f,Irma Marlisah,https://play-lh.googleusercontent.com/a/ACg8ocK9kcfbgES-o4EWlv-xo-yv4GfyK3kf3JYyAyFp-8gwJb6WoA=mo,"Rada kesel pengen nonton, udah coba buat bayar yg perbulan tapi gak bisa""",3,0,12.4.9,2022-12-31 15:23:16,"Hai Najlan, Kami mohon maaf atas ketidaknyamannya. Silakan kirimkan email kepada kami di disneyplus.id@hotstar.com dengan nomor ponsel langganan kamu, detail perangkat (Merek/ Tipe), versi OS & versi aplikasi, nama konten dan foto dari kendala yang dialami sehingga kami dapat membantu kamu. Terima kasih",2023-01-02 07:48:58,12.4.9
6c9b654d-a180-4306-86f9-b9fdf86ce1da,Y,https://play-lh.googleusercontent.com/a-/ALV-UjU5n6S0NdWdquFLV1zNF52pHzNAbCWqdoyJTW1uCDsQ5ytiSbmr,Hebat,5,0,,2022-12-31 12:50:14,,,
64f12787-f1e3-4fdd-9be1-6fefdc7c760e,Rafqa Syamil26,https://play-lh.googleusercontent.com/a/ACg8ocLHR2ITwmKEduflJHoyx7UFAT7bOJd0MgNjQCrQq8cNMDcaRg=mo,"Ga bisa"" mutar video",1,0,,2022-12-31 11:58:09,"Hai Rafqa, mohon maaf atas ketidaknyamannya. Mohon kirimkan email kepada kami di disneyplus.id@hotstar.com dengan nomor ponsel langganan kamu, detail perangkat (make / model), versi OS & versi aplikasi, nama konten dan tangkapan layar dari kendala yang dialami sehingga kami dapat membantu kamu. Terima kasih.",2023-01-02 07:50:35,
2a0648fd-800c-42fc-bfc6-b21c77cd0cc9,Ardhy Ekanandar,https://play-lh.googleusercontent.com/a/ACg8ocI4B51M7_ILWGmSxWaNehO9ziUB8GIK1oktYOCdvbP5tW5aJQ=mo,Apk tidak guna,1,0,,2022-12-31 11:43:05,,,
eec19d5c-2174-4bc2-8675-3827658274c5,zea Hardjadinata,https://play-lh.googleusercontent.com/a/ACg8ocKtS4KzmIOSo0zGnkP_4MeOc325Vq0cpctK_u2InuFDtMwOAQ=mo,Why keris siamang tunggal upin ipin movie cant play?,3,0,12.4.9,2022-12-31 08:39:49,"Hai, mohon maaf atas ketidaknyamannya. Mohon kirimkan email kepada kami di disneyplus.id@hotstar.com dengan nomor ponsel langganan kamu, detail perangkat (make/model), versi OS & versi aplikasi, dan tangkapan layar dari kendala yang dialami sehingga kami dapat membantu kamu.",2023-01-02 07:49:24,12.4.9
ef492937-e02a-4d22-b9ab-62fe5bd3e7df,Hafidin Nuri,https://play-lh.googleusercontent.com/a/ACg8ocJQBVr9-_Xb6LCAK_aKdtfsYPHmBAxnoBeqWjwxMGkuk2Yt6A=mo,Mantap sih cuman masih kurang film nya,4,0,,2022-12-31 08:21:26,,,
545fd05e-0a40-4a97-9fbf-7736479a6c77,BINTANG MUSIK 2,https://play-lh.googleusercontent.com/a/ACg8ocKkTwurL4aXbjpOeCTY-V_CN80-jHtSA5J9ZkVfKPjCtADMYQ=mo,GK ada yg gratisan gak papa harus nonton iklan yg penting bisa nonton,1,0,12.4.9,2022-12-31 02:21:31,,,12.4.9
873c1f0c-b759-497b-84f7-3711983eb2ac,Adam1,https://play-lh.googleusercontent.com/a-/ALV-UjWgqXGtjQAVIM4Y-HOneZNfORX6CLnAi-qsVZEuYq_61pzbEZfT,"Cok ngapain gw beli Disney dulu, Mending beli netfilx, Film nya lengkap, Gak kayak disney",1,0,12.4.2,2022-12-30 19:18:41,,,12.4.2
